Aasu,Afao,Afono,Agugulu,Alao,Alega,Alofau,Amaluia,Amanave,Amaua,Amouli,Anua,Aoa,Aoloau,Asili,Atuu,Aua,Auasi,Aumi,Aunuu,Auto,Avaio,Fagaalu,Fagaitua,Fagalii,Fagamalo,Faganeanea,Fagasa,Fagatogo,Failolo,Faleniu,Fatumafuti,Futiga,Iliili,Laulii,Leloaloa,Leone,Malaeimi,Malaeloa/Aitulagi,Malaeloa/Ituau,Maloata,Mapusagafou,Masausi,Masefau,Matuu,Mesepa,Nua,Nuuuli,Onenoa,Pagai,Pago,Pavaiai,Poloa,Sailele,Seetaga,Tafuna,Taputimu,Tula,Utulei,Utumea East,Utumea West,Vailoatai,Vaitogi,Vatia
Auto,14.301,19.692,2.932,21.664,6.644,1.119,2.697,18.796,22.514,0.558,4.805,7.761,4.583,16.151,19.118,6.674,3.711,3.711,2.612,8.06,0,0.677,6.364,1.596,21.969,19.774,7.37,9.818,6.977,22.322,13.663,5.941,16.33,14.162,3.139,5.291,17.943,13.079,16.553,16.559,20.465,15.009,3.064,2.269,6.683,14.086,20.171,10.023,5.564,2.362,8.005,14.973,22.66,3.8,20.66,12.403,18.135,7.051,6.114,6.35,20.992,18.626,14.909,5.954
Avaio,13.809,19.135,2.953,21.121,7.167,0.601,3.173,18.228,21.987,1.23,5.279,7.408,5.139,15.622,18.558,6.325,3.439,3.439,1.989,8.43,0.677,0,5.838,2.244,21.471,19.298,6.783,9.349,6.546,21.786,13.064,5.356,15.707,13.532,2.546,4.994,17.358,12.506,15.957,15.95,19.975,14.434,3.711,2.761,6.101,13.499,19.624,9.438,6.18,2.945,7.607,14.367,22.146,4.433,20.122,11.779,17.51,7.635,5.655,6.824,20.449,18.015,14.265,5.885
Fagaalu,7.986,13.34,4.913,15.302,12.999,5.265,9.012,12.466,16.153,6.865,11.116,2.739,10.946,9.788,12.771,2.204,3.348,3.348,3.945,14.17,6.364,5.838,0,7.904,15.638,13.49,1.436,3.605,1.429,15.959,7.479,1.02,10.301,8.254,3.346,2.599,11.665,6.779,10.326,10.411,14.15,8.704,9.321,6.903,0.961,7.831,13.811,3.825,11.872,8.724,2.465,8.819,16.308,10.088,14.297,6.471,12.106,13.4,0.887,12.66,14.629,12.476,9.176,4.609
Fagaitua,15.79,21.243,3.886,23.203,5.187,2.711,1.54,20.359,24.036,1.051,3.48,9.097,3.091,17.677,20.673,8.017,5.022,5.022,4.208,6.885,1.596,2.244,7.904,0,23.457,21.236,8.952,11.29,8.419,23.854,15.249,7.524,17.925,15.758,4.73,6.586,19.52,14.648,18.136,18.149,21.944,16.578,1.469,2.258,8.263,15.664,21.714,11.602,3.98,0.907,9.4,16.562,24.167,2.207,22.194,13.998,19.731,5.497,7.592,4.99,22.53,20.217,16.503,6.875
Fagalii,7.668,3.654,19.929,2.283,28.612,20.889,24.641,4.673,1.548,22.444,26.75,14.579,26.537,5.975,4.133,15.591,18.508,18.508,19.573,29.777,21.969,21.471,15.638,23.457,0,2.389,14.902,12.168,15.051,1.982,9.448,16.253,8.562,10.168,18.978,17.039,5.898,9.44,7.2,7.743,1.547,7.756,24.812,22.049,15.525,8.806,3.001,12.401,27.36,24.312,14.149,8.652,1.043,25.584,2.357,11.142,7.926,28.933,15.866,28.294,2.398,6.854,10.47,17.732
Fagamalo,5.512,3.603,17.648,3.616,26.409,18.71,22.46,4.239,3.596,20.236,24.571,12.279,24.324,4.187,3.774,13.31,16.256,16.256,17.435,27.659,19.774,19.298,13.49,21.236,2.389,0,12.856,9.955,12.818,3.786,7.902,14.165,7.723,8.912,16.836,14.761,5.266,7.668,6.213,6.864,0.894,6.236,22.569,19.765,13.451,7.236,3.207,10.462,25.11,22.103,11.877,7.377,3.349,23.341,2.912,9.579,7.603,26.693,13.66,26.117,3.236,6.636,9.443,15.383
Faganeanea,7.36,12.378,6.255,14.391,13.928,6.251,9.926,11.453,15.302,7.901,12.002,3.665,11.921,8.959,11.796,3.448,4.705,4.705,4.803,14.897,7.37,6.783,1.436,8.952,14.902,12.856,0,3.412,2.484,15.072,6.299,1.429,9.036,6.933,4.238,4.032,10.576,5.729,9.184,9.21,13.455,7.655,10.402,8.169,0.69,6.717,12.886,2.655,12.931,9.722,3.177,7.619,15.508,11.157,13.408,5.147,10.846,14.416,2.291,13.53,13.723,11.28,7.811,6.015
Fagasa,4.506,10.192,7.827,12.041,16.455,8.758,12.505,9.434,12.8,10.283,14.616,2.733,14.374,6.5,9.659,3.558,6.357,6.357,7.524,17.743,9.818,9.349,3.605,11.29,12.168,9.955,3.412,0,2.889,12.657,5.215,4.43,8.127,6.527,6.925,4.955,8.835,4.187,7.701,7.977,10.653,5.91,12.646,9.942,3.816,5.301,10.591,2.674,15.197,12.151,2.138,6.487,12.896,13.418,11.015,5.021,9.821,16.766,3.705,16.163,11.37,9.935,7.639,6.136
Fagatogo,7.395,13.035,4.957,14.915,13.596,5.948,9.673,12.235,15.688,7.424,11.782,1.311,11.508,9.37,12.489,1.018,3.468,3.468,4.839,14.974,6.977,6.546,1.429,8.419,15.051,12.818,2.484,2.889,0,15.539,7.585,2.442,10.496,8.598,4.254,2.139,11.551,6.72,10.31,10.489,13.531,8.583,9.761,7.065,2.283,7.826,13.453,4.119,12.31,9.289,1.135,8.922,15.785,10.533,13.892,6.865,12.269,13.883,0.941,13.327,14.242,12.519,9.612,3.768
Failolo,8.195,2.827,20.484,0.743,28.953,21.221,24.956,3.897,0.549,22.821,27.05,15.224,26.905,6.179,3.422,16.18,19.005,19.005,19.84,29.956,22.322,21.786,15.959,23.854,1.982,3.786,15.072,12.657,15.539,0,9.168,16.471,7.697,9.582,19.255,17.605,5.088,9.399,6.549,6.961,2.916,7.542,25.25,22.599,15.728,8.579,2.222,12.468,27.805,24.682,14.733,8.155,1.241,26.021,1.664,10.816,6.709,29.351,16.289,28.586,1.364,5.633,9.675,18.501
